종목코드,업종
344820,유리 및 유리제품 제조업
340440,플라스틱제품 제조업
341310,기타 섬유제품 제조업
311690,자연과학 및 공학 연구개발업
238170,합성고무 및 플라스틱 물질 제조업
062970,통신 및 방송 장비 제조업
327260,전자부품 제조업
339950,일반 교습 학원
288330,기초 의약물질 제조업
340360,통신 및 방송 장비 제조업
235980,자연과학 및 공학 연구개발업
336570,의료용 기기 제조업
226330,소프트웨어 개발 및 공급업
322510,소프트웨어 개발 및 공급업
124560,기타 운송관련 서비스업
335870,"섬유, 의복, 신발 및 가죽제품 소매업"
317860,기타 화학제품 제조업
302550,의료용 기기 제조업
338100,부동산 임대 및 공급업
335890,의료용 기기 제조업
336040,의료용 기기 제조업
250030,기타 화학제품 제조업
336060,소프트웨어 개발 및 공급업
337840,의료용 기기 제조업
278650,자연과학 및 공학 연구개발업
308170,자동차 신품 부품 제조업
321550,자연과학 및 공학 연구개발업
297090,일반 목적용 기계 제조업
103840,"과실, 채소 가공 및 저장 처리업"
190650,금융 지원 서비스업
322000,반도체 제조업
306040,"가죽, 가방 및 유사제품 제조업"
216080,의료용품 및 기타 의약 관련제품 제조업
272210,전자부품 제조업
214260,기타 화학제품 제조업
084850,전자부품 제조업
333430,선박 및 보트 건조업
317400,부동산 임대 및 공급업
279600,소프트웨어 개발 및 공급업
322180,소프트웨어 개발 및 공급업
333050,소프트웨어 개발 및 공급업
330590,부동산 임대 및 공급업
013890,가구 제조업
331520,소프트웨어 개발 및 공급업
317530,"영화, 비디오물, 방송프로그램 제작 및 배급업"
331660,기타 화학제품 제조업
272110,반도체 제조업
317870,그외 기타 제품 제조업
318010,기타 식품 제조업
336260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
300120,소프트웨어 개발 및 공급업
336370,전자부품 제조업
036420,"영화, 비디오물, 방송프로그램 제작 및 배급업"
158430,소프트웨어 개발 및 공급업
234690,의약품 제조업
332290,"비료, 농약 및 살균, 살충제 제조업"
331380,영상 및 음향기기 제조업
093510,자동차 신품 부품 제조업
244460,기초 의약물질 제조업
317120,반도체 제조업
320000,특수 목적용 기계 제조업
256150,일반 목적용 기계 제조업
149300,자연과학 및 공학 연구개발업
311390,기타 식품 제조업
195500,"도축, 육류 가공 및 저장 처리업"
328380,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
286750,기초 화학물질 제조업
317830,특수 목적용 기계 제조업
228670,의료용 기기 제조업
186230,1차 비철금속 제조업
282880,특수 목적용 기계 제조업
317330,기타 화학제품 제조업
318000,합성고무 및 플라스틱 물질 제조업
317770,전자부품 제조업
148150,전자부품 제조업
313760,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
317850,특수 목적용 기계 제조업
241840,"영화, 비디오물, 방송프로그램 제작 및 배급업"
300080,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
234340,기타 정보 서비스업
289010,"서적, 잡지 및 기타 인쇄물 출판업"
327610,의료용 기기 제조업
251970,플라스틱제품 제조업
312610,일차전지 및 이차전지 제조업
323280,특수 목적용 기계 제조업
293780,자연과학 및 공학 연구개발업
308100,"섬유, 의복, 신발 및 가죽제품 소매업"
305090,의료용 기기 제조업
322780,"영화, 비디오물, 방송프로그램 제작 및 배급업"
321260,반도체 제조업
003670,일차전지 및 이차전지 제조업
253840,의료용품 및 기타 의약 관련제품 제조업
307930,기타 금융업
319660,특수 목적용 기계 제조업
319400,일반 목적용 기계 제조업
317240,기타 화학제품 제조업
279060,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
125210,전자부품 제조업
307950,소프트웨어 개발 및 공급업
228760,자연과학 및 공학 연구개발업
099750,소프트웨어 개발 및 공급업
100790,기타 금융업
192650,전자부품 제조업
192080,소프트웨어 개발 및 공급업
247540,일차전지 및 이차전지 제조업
299660,자연과학 및 공학 연구개발업
316140,기타 금융업
278280,기초 화학물질 제조업
246960,의료용품 및 기타 의약 관련제품 제조업
104620,여행사 및 기타 여행보조 서비스업
053580,소프트웨어 개발 및 공급업
311060,특수 목적용 기계 제조업
298690,항공 여객 운송업
238200,기타 식품 제조업
263050,기초 의약물질 제조업
290550,전자부품 제조업
307180,전구 및 조명장치 제조업
310200,"영화, 비디오물, 방송프로그램 제작 및 배급업"
308700,전구 및 조명장치 제조업
310870,자동차 신품 부품 제조업
299900,"영화, 비디오물, 방송프로그램 제작 및 배급업"
309930,기타 생활용품 소매업
307750,의약품 제조업
298380,기초 의약물질 제조업
100590,통신 및 방송 장비 제조업
110020,기타 화학제품 제조업
270870,기타 식품 제조업
307870,소프트웨어 개발 및 공급업
302430,특수 목적용 기계 제조업
290120,자동차 신품 부품 제조업
128540,자동차 신품 부품 제조업
307280,의료용품 및 기타 의약 관련제품 제조업
900340,기타 금융업
111710,스포츠 서비스업
179290,의료용 기기 제조업
117730,특수 목적용 기계 제조업
290660,의료용 기기 제조업
207490,전구 및 조명장치 제조업
246710,기초 의약물질 제조업
288490,소프트웨어 개발 및 공급업
267850,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
263690,의료용 기기 제조업
217330,자연과학 및 공학 연구개발업
027360,기타 금융업
208340,의약품 제조업
263020,플라스틱제품 제조업
227100,부동산 관련 서비스업
194700,기타 식품 제조업
290670,기타 전기장비 제조업
285490,그외 기타 제품 제조업
290650,의약품 제조업
306620,특수 목적용 기계 제조업
108490,특수 목적용 기계 제조업
153710,의료용품 및 기타 의약 관련제품 제조업
288620,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
306200,1차 철강 제조업
293580,기타 금융업
290720,무점포 소매업
293480,의약품 제조업
110790,봉제의복 제조업
299170,생활용품 도매업
219750,의료용 기기 제조업
010400,건물설비 설치 공사업
291230,기타 사업지원 서비스업
257370,특수 목적용 기계 제조업
140610,자연과학 및 공학 연구개발업
197140,소프트웨어 개발 및 공급업
303030,반도체 제조업
290740,전자부품 제조업
173130,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
089970,특수 목적용 기계 제조업
086820,기초 의약물질 제조업
302920,"영화, 비디오물, 방송프로그램 제작 및 배급업"
293940,부동산 임대 및 공급업
110990,특수 목적용 기계 제조업
275630,소프트웨어 개발 및 공급업
300720,"시멘트, 석회, 플라스터 및 그 제품 제조업"
290270,소프트웨어 개발 및 공급업
091810,항공 여객 운송업
286940,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
080720,의약품 제조업
204020,봉제의복 제조업
297570,통신 및 방송 장비 제조업
226950,자연과학 및 공학 연구개발업
298050,화학섬유 제조업
258050,기타 금속 가공제품 제조업
298040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
298020,화학섬유 제조업
298000,기초 화학물질 제조업
175250,의약품 제조업
289080,기타 금융업
276240,영상 및 음향기기 제조업
299480,기타 섬유제품 제조업
088260,부동산 임대 및 공급업
245620,자연과학 및 공학 연구개발업
294870,건물 건설업
284620,자연과학 및 공학 연구개발업
037030,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
016790,동물용 사료 및 조제식품 제조업
258830,의료용 기기 제조업
122310,의료용 기기 제조업
217910,기초 화학물질 제조업
950170,종합 소매업
253590,특수 목적용 기계 제조업
263700,광고업
018250,기타 화학제품 제조업
277070,신탁업 및 집합투자업
226400,의료용 기기 제조업
183490,기초 의약물질 제조업
006620,의약품 제조업
154030,작물 재배업
260660,의료용품 및 기타 의약 관련제품 제조업
068270,기초 의약물질 제조업
042000,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
219420,소프트웨어 개발 및 공급업
267790,봉제의복 제조업
255220,기타 비금속 광물제품 제조업
264660,특수 목적용 기계 제조업
284740,개인 및 가정용품 임대업
285130,합성고무 및 플라스틱 물질 제조업
269620,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
187870,특수 목적용 기계 제조업
236030,"곡물가공품, 전분 및 전분제품 제조업"
281740,기타 화학제품 제조업
282330,종합 소매업
092780,자동차용 엔진 및 자동차 제조업
272450,항공 여객 운송업
260930,기타 화학제품 제조업
241770,반도체 제조업
234300,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
281820,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
066360,"도축, 육류 가공 및 저장 처리업"
007680,건물 건설업
272550,플라스틱제품 제조업
253450,"영화, 비디오물, 방송프로그램 제작 및 배급업"
950160,기초 의약물질 제조업
278990,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
055490,플라스틱제품 제조업
280360,기타 식품 제조업
180060,기타 전기장비 제조업
265560,자동차 신품 부품 제조업
234100,자동차 신품 부품 제조업
263810,전자부품 제조업
255440,특수 목적용 기계 제조업
277410,기타 식품 제조업
263920,그외 기타 제품 제조업
243840,일차전지 및 이차전지 제조업
179900,전자부품 제조업
171090,특수 목적용 기계 제조업
259630,특수 목적용 기계 제조업
174900,의료용품 및 기타 의약 관련제품 제조업
263750,소프트웨어 개발 및 공급업
256940,의약품 제조업
260870,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
263600,전자부품 제조업
270520,"건축기술, 엔지니어링 및 관련 기술 서비스업"
258610,"구조용 금속제품, 탱크 및 증기발생기 제조업"
140670,전자부품 제조업
900310,기타 금융업
273060,광고업
118990,자동차 신품 부품 제조업
263800,기계장비 및 관련 물품 도매업
263860,소프트웨어 개발 및 공급업
263720,"서적, 잡지 및 기타 인쇄물 출판업"
162120,기타 전기장비 제조업
238490,특수 목적용 기계 제조업
271980,의약품 제조업
251630,특수 목적용 기계 제조업
227610,기타 화학제품 제조업
272290,전자부품 제조업
035720,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
271560,기타 식품 제조업
003380,기타 금융업
261200,의료용 기기 제조업
233250,의료용품 및 기타 의약 관련제품 제조업
267320,특수 목적용 기계 제조업
270210,기타 화학제품 제조업
266170,"영화, 비디오물, 방송프로그램 제작 및 배급업"
250000,음·식료품 및 담배 도매업
267980,동·식물성 유지 및 낙농제품 제조업
225190,사진장비 및 광학기기 제조업
264850,전자부품 제조업
161580,특수 목적용 기계 제조업
268280,기초 화학물질 제조업
267290,연료용 가스 제조 및 배관공급업
251270,소프트웨어 개발 및 공급업
267250,기타 금융업
267270,일반 목적용 기계 제조업
267260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
256630,기타 금속 가공제품 제조업
166090,반도체 제조업
258790,소프트웨어 개발 및 공급업
251370,기초 화학물질 제조업
266870,기타 화학제품 제조업
264900,"떡, 빵 및 과자류 제조업"
265520,특수 목적용 기계 제조업
263770,1차 철강 제조업
063760,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
264450,통신 및 방송 장비 제조업
178320,기타 전기장비 제조업
183300,특수 목적용 기계 제조업
246720,의료용품 및 기타 의약 관련제품 제조업
145720,의료용 기기 제조업
217480,기타 화학제품 제조업
002800,의약품 제조업
083500,특수 목적용 기계 제조업
087260,소프트웨어 개발 및 공급업
241820,의료용품 및 기타 의약 관련제품 제조업
111110,봉제의복 제조업
140070,기계장비 및 관련 물품 도매업
206650,의약품 제조업
227420,직물직조 및 직물제품 제조업
256840,기초 의약물질 제조업
241520,신탁업 및 집합투자업
246690,신탁업 및 집합투자업
147760,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
199290,의료용 기기 제조업
196300,기초 의약물질 제조업
203450,통신 및 방송 장비 제조업
215600,자연과학 및 공학 연구개발업
254120,특수 목적용 기계 제조업
143210,자동차 신품 부품 제조업
241790,특수 목적용 기계 제조업
220100,의약품 제조업
144960,특수 목적용 기계 제조업
156100,의료용 기기 제조업
220180,소프트웨어 개발 및 공급업
241560,특수 목적용 기계 제조업
207940,기초 의약물질 제조업
237880,기타 화학제품 제조업
900300,기타 금융업
238120,사진장비 및 광학기기 제조업
252500,기타 화학제품 제조업
243870,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
216050,광고업
239610,기타 식품 제조업
241710,기타 화학제품 제조업
234080,의약품 제조업
900290,기타 금융업
251280,자연과학 및 공학 연구개발업
189300,통신 및 방송 장비 제조업
072990,기타 과학기술 서비스업
950140,기타 화학제품 제조업
238090,플라스틱제품 제조업
050960,소프트웨어 개발 및 공급업
201490,소프트웨어 개발 및 공급업
241590,신발 및 신발 부분품 제조업
250930,플라스틱제품 제조업
229640,기타 금융업
204210,부동산 임대 및 공급업
241690,자동차 신품 부품 제조업
250060,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
242040,소프트웨어 개발 및 공급업
234920,가정용 기기 제조업
249420,의약품 제조업
900270,기타 금융업
248170,기타 식품 제조업
230360,광고업
191600,전자부품 제조업
016740,자동차 신품 부품 제조업
208860,소프트웨어 개발 및 공급업
073560,"도축, 육류 가공 및 저장 처리업"
212310,의료용 기기 제조업
123010,전자부품 제조업
066830,기타 화학제품 제조업
026960,음·식료품 및 담배 도매업
174880,통신 및 방송 장비 제조업
123890,신탁업 및 집합투자업
034830,신탁업 및 집합투자업
142760,자연과학 및 공학 연구개발업
237750,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
900260,기타 금융업
245450,통신 및 방송 장비 제조업
195870,전자부품 제조업
237690,의약품 제조업
144510,"그외 기타 전문, 과학 및 기술 서비스업"
148250,전자부품 제조업
208850,기타 전기장비 제조업
239340,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
243070,의약품 제조업
244880,의료용 기기 제조업
112190,"시멘트, 석회, 플라스터 및 그 제품 제조업"
070960,일반 및 생활 숙박시설 운영업
101530,기타 식품 제조업
240810,특수 목적용 기계 제조업
238500,"그외 기타 전문, 과학 및 기술 서비스업"
228850,의료용 기기 제조업
228340,"시멘트, 석회, 플라스터 및 그 제품 제조업"
004440,"시멘트, 석회, 플라스터 및 그 제품 제조업"
222110,의약품 제조업
211270,통신 및 방송 장비 제조업
230980,소프트웨어 개발 및 공급업
115180,자연과학 및 공학 연구개발업
065660,기타 전문 도매업
236200,통신 및 방송 장비 제조업
194370,"가죽, 가방 및 유사제품 제조업"
142210,자동차 부품 및 내장품 판매업
900250,기타 금융업
236340,자연과학 및 공학 연구개발업
206950,운동 및 경기용구 제조업
232530,일차전지 및 이차전지 제조업
224060,특수 목적용 기계 제조업
109610,"구조용 금속제품, 탱크 및 증기발생기 제조업"
233990,기타 화학제품 제조업
226320,기타 화학제품 제조업
215570,자연과학 및 공학 연구개발업
223310,상품 종합 도매업
232140,특수 목적용 기계 제조업
191410,전자부품 제조업
145020,기초 의약물질 제조업
222980,기타 식품 제조업
206560,"영화, 비디오물, 방송프로그램 제작 및 배급업"
013310,자동차 신품 부품 제조업
047920,자연과학 및 공학 연구개발업
217730,기초 의약물질 제조업
234070,산업용 기계 및 장비 임대업
133750,일반 교습 학원
225530,기타 비금속 광물제품 제조업
140860,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
230240,통신 및 방송 장비 제조업
122640,특수 목적용 기계 제조업
222040,기타 식품 제조업
058110,의료용 기기 제조업
217820,특수 목적용 기계 제조업
075580,선박 및 보트 건조업
221840,"항공기,우주선 및 부품 제조업"
180400,기타 과학기술 서비스업
221980,기타 화학제품 제조업
212560,자동차 신품 부품 제조업
227950,특수 목적용 기계 제조업
214370,기초 의약물질 제조업
185490,자연과학 및 공학 연구개발업
190510,전자부품 제조업
056090,의료용 기기 제조업
214330,자동차 신품 부품 제조업
089590,항공 여객 운송업
226340,기타 화학제품 제조업
217950,의약품 제조업
092590,반도체 제조업
229500,자연과학 및 공학 연구개발업
182400,기초 의약물질 제조업
227840,음·식료품 및 담배 도매업
226360,토목 건설업
092870,특수 목적용 기계 제조업
224810,실내건축 및 건축마무리 공사업
200580,의료용 기기 제조업
225430,기타 화학제품 제조업
225590,봉제의복 제조업
079550,무기 및 총포탄 제조업
225570,소프트웨어 개발 및 공급업
217190,특수 목적용 기계 제조업
219130,전자부품 제조업
039570,전기 및 통신 공사업
002690,1차 철강 제조업
175140,통신 및 방송 장비 제조업
222080,특수 목적용 기계 제조업
224110,통신 및 방송 장비 제조업
196700,합성고무 및 플라스틱 물질 제조업
095570,산업용 기계 및 장비 임대업
131760,특수 목적용 기계 제조업
222810,1차 철강 제조업
222800,전자부품 제조업
189980,비알코올음료 및 얼음 제조업
222420,기타 비금속 광물제품 제조업
094360,반도체 제조업
127710,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
224760,토목 건설업
214430,전자부품 제조업
067730,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
222670,자연과학 및 공학 연구개발업
220260,기타 화학제품 제조업
214450,의료용품 및 기타 의약 관련제품 제조업
219550,생활용품 도매업
087010,기초 의약물질 제조업
214320,광고업
214420,기타 화학제품 제조업
086220,기타 식품 제조업
223220,기타 운송관련 서비스업
085620,보험업
218410,통신 및 방송 장비 제조업
094170,반도체 제조업
178780,상품 종합 도매업
214180,기타 정보 서비스업
214390,기초 의약물질 제조업
216400,자연과학 및 공학 연구개발업
166480,의약품 제조업
210980,부동산 임대 및 공급업
103660,기타 화학제품 제조업
177350,특수 목적용 기계 제조업
217270,소프트웨어 개발 및 공급업
218150,동물용 사료 및 조제식품 제조업
160980,특수 목적용 기계 제조업
217500,특수 목적용 기계 제조업
087600,전자부품 제조업
217620,음식점업
187420,기초 의약물질 제조업
217880,소프트웨어 개발 및 공급업
215380,자연과학 및 공학 연구개발업
076340,기반조성 및 시설물 축조관련 전문공사업
215480,"섬유, 의복, 신발 및 가죽제품 소매업"
215790,통신 및 방송 장비 제조업
215360,자동차 신품 부품 제조업
215200,일반 교습 학원
217320,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
215090,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
215100,기타 전기장비 제조업
214680,의료용 기기 제조업
195990,특수 목적용 기계 제조업
215000,소프트웨어 개발 및 공급업
214150,의료용 기기 제조업
214270,소프트웨어 개발 및 공급업
145210,특수 목적용 기계 제조업
189690,소프트웨어 개발 및 공급업
213420,전자부품 제조업
213500,"펄프, 종이 및 판지 제조업"
210540,특수 목적용 기계 제조업
060480,1차 비철금속 제조업
193250,전자부품 제조업
206640,의료용품 및 기타 의약 관련제품 제조업
204630,창작 및 예술관련 서비스업
208640,소프트웨어 개발 및 공급업
200470,반도체 제조업
200670,의약품 제조업
189860,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
067390,"항공기,우주선 및 부품 제조업"
080580,전자부품 제조업
208350,소프트웨어 개발 및 공급업
208710,전자부품 제조업
160550,"영화, 비디오물, 방송프로그램 제작 및 배급업"
124500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
208890,교육지원 서비스업
028260,기타 전문 도매업
142280,의료용품 및 기타 의약 관련제품 제조업
187220,기타 과학기술 서비스업
208370,의료용 기기 제조업
208140,"도축, 육류 가공 및 저장 처리업"
149980,의료용 기기 제조업
084650,자연과학 및 공학 연구개발업
200710,반도체 제조업
200780,의약품 제조업
207760,기타 정보 서비스업
196170,자연과학 및 공학 연구개발업
206400,실내건축 및 건축마무리 공사업
140520,1차 철강 제조업
173940,창작 및 예술관련 서비스업
205470,의료용품 및 기타 의약 관련제품 제조업
112610,"구조용 금속제품, 탱크 및 증기발생기 제조업"
200230,의약품 제조업
204840,생활용품 도매업
204620,금융 지원 서비스업
196490,특수 목적용 기계 제조업
018260,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
149010,반도체 제조업
205500,소프트웨어 개발 및 공급업
205100,소프트웨어 개발 및 공급업
191420,기초 의약물질 제조업
192440,그외 기타 제품 제조업
143540,특수 목적용 기계 제조업
121060,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
203650,소프트웨어 개발 및 공급업
041920,의료용 기기 제조업
204320,자동차 신품 부품 제조업
194480,소프트웨어 개발 및 공급업
203690,"펄프, 종이 및 판지 제조업"
192410,통신 및 방송 장비 제조업
198440,"시멘트, 석회, 플라스터 및 그 제품 제조업"
202960,소프트웨어 개발 및 공급업
200880,자동차 신품 부품 제조업
187270,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
192400,기타 금융업
177830,전자부품 제조업
090410,"구조용 금속제품, 탱크 및 증기발생기 제조업"
004650,알코올음료 제조업
192390,"구조용 금속제품, 탱크 및 증기발생기 제조업"
059120,반도체 제조업
200130,기초 의약물질 제조업
133820,1차 철강 제조업
105550,전자부품 제조업
136660,특수 목적용 기계 제조업
199150,소프트웨어 개발 및 공급업
196450,사진장비 및 광학기기 제조업
071850,자동차 신품 부품 제조업
027410,기타 금융업
187790,기초 화학물질 제조업
192250,소프트웨어 개발 및 공급업
192820,기타 화학제품 제조업
138080,통신 및 방송 장비 제조업
053300,소프트웨어 개발 및 공급업
154040,전자부품 제조업
090850,소프트웨어 개발 및 공급업
140660,통신 및 방송 장비 제조업
189350,통신 및 방송 장비 제조업
184230,소프트웨어 개발 및 공급업
178600,기타 식품 제조업
049080,전자부품 제조업
150840,의료용 기기 제조업
085810,소프트웨어 개발 및 공급업
185750,의약품 제조업
170030,자동차 신품 부품 제조업
067570,자동차 신품 부품 제조업
134580,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
006880,산업용 농·축산물 및 동·식물 도매업
182360,오디오물 출판 및 원판 녹음업
171120,기타 화학제품 제조업
171010,기초 화학물질 제조업
138360,특수 목적용 기계 제조업
183190,"시멘트, 석회, 플라스터 및 그 제품 제조업"
076610,사진장비 및 광학기기 제조업
168330,자연과학 및 공학 연구개발업
064350,철도장비 제조업
185190,산업용 농·축산물 및 동·식물 도매업
131970,"그외 기타 전문, 과학 및 기술 서비스업"
150900,소프트웨어 개발 및 공급업
170920,기초 화학물질 제조업
119850,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
180640,기타 금융업
092040,기타 식품 제조업
181710,소프트웨어 개발 및 공급업
130500,기타 섬유제품 제조업
170790,통신 및 방송 장비 제조업
151860,자동차 차체나 트레일러 제조업
175330,기타 금융업
089600,광고업
114920,1차 철강 제조업
179720,기타 금융업
116100,자동차 신품 부품 제조업
950130,의료용품 및 기타 의약 관련제품 제조업
155660,1차 비철금속 제조업
141080,자연과학 및 공학 연구개발업
170900,의약품 제조업
097800,반도체 제조업
104540,의료용 기기 제조업
159580,생활용품 도매업
114810,특수 목적용 기계 제조업
153490,반도체 제조업
099190,의료용 기기 제조업
159910,기타 화학제품 제조업
046970,기타 전문 도매업
113810,자동차 신품 부품 제조업
013870,자동차 신품 부품 제조업
155650,전자부품 제조업
037560,텔레비전 방송업
149950,전자부품 제조업
163560,고무제품 제조업
161890,기타 화학제품 제조업
161390,고무제품 제조업
121850,플라스틱제품 제조업
161000,기초 화학물질 제조업
153460,소프트웨어 개발 및 공급업
106520,사진장비 및 광학기기 제조업
137400,특수 목적용 기계 제조업
014710,수산물 가공 및 저장 처리업
141000,특수 목적용 기계 제조업
072950,전자부품 제조업
152550,신탁업 및 집합투자업
079980,화학섬유 제조업
143240,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
147830,"구조용 금속제품, 탱크 및 증기발생기 제조업"
091590,건물 건설업
145270,부동산 임대 및 공급업
140410,자연과학 및 공학 연구개발업
104830,기초 화학물질 제조업
127120,자연과학 및 공학 연구개발업
007070,종합 소매업
130580,기타 사업지원 서비스업
131090,소프트웨어 개발 및 공급업
100660,일반 목적용 기계 제조업
129260,도로 화물 운송업
115480,의료용 기기 제조업
145990,기타 식품 제조업
139670,소프트웨어 개발 및 공급업
121800,통신 및 방송 장비 제조업
138070,기타 금속 가공제품 제조업
123570,광고업
